id_particle,x,y,frame,intensity
2.0,487.31393726029137,303.9084674204389,0.0,157.67885372426161
10.0,266.1077813353421,409.8944928008027,0.0,102.27019371555701
14.0,32.34809904961185,448.06569756526403,0.0,193.49590142870142
21.0,44.86110511551885,32.16896408029038,0.0,124.15784390800351
23.0,118.18405545657754,315.040705398441,0.0,157.7037574713591
24.0,322.22215635447765,137.5137761662936,0.0,129.65703729051717
27.0,487.62364005725726,343.34852452019607,0.0,105.61363829798898
32.0,449.2062906495414,340.1603870018573,0.0,211.97295240057616
37.0,425.63957614078436,109.27105110149603,0.0,235.68049489305022
38.0,130.0596751804893,390.23095669027646,0.0,119.52114274043483
48.0,5.490795759278399,157.39303457894403,0.0,115.67462244941673
49.0,172.6448923736973,200.54194157715597,0.0,133.89628223056786
54.0,318.39531757824057,350.34571456217725,0.0,128.33611143014147
63.0,343.2509637329903,171.23000164514883,0.0,146.29432011838992
66.0,399.3178305640488,6.791609191431917,0.0,249.76290294493975
2.0,495.3943754945489,306.99155714589034,1.0,140.93992576341122
10.0,274.88665039997704,403.5499925202108,1.0,103.42419724165326
14.0,37.524130048122544,457.0689704206003,1.0,179.69330475358942
21.0,42.55691978540879,21.348416918351518,1.0,128.90243458717703
23.0,121.53065130164208,305.0271397090672,1.0,151.96973969734276
24.0,318.00330439888,126.81412601077976,1.0,133.29439678777743
27.0,486.26786140895047,352.06735866374953,1.0,109.25546577410998
32.0,440.2162044860655,346.0742669060917,1.0,216.75889970672455
37.0,417.1703114299547,111.68303173382226,1.0,220.40206883933283
38.0,126.45420257196261,384.7823068774645,1.0,120.28665952853227
48.0,10.547061831187849,167.50902343738605,1.0,140.5963217563762
49.0,163.5614640027856,202.54466916884166,1.0,112.04791090026654
54.0,320.3776452169491,361.4844335593828,1.0,124.71250214451084
63.0,334.4988344843713,175.93423853210675,1.0,114.49046849416416
66.0,408.6573393134181,13.653506431488672,1.0,252.78308132026754
2.0,503.6369058713537,310.59983944276826,2.0,147.32848767471523
10.0,281.75137722382664,395.2243419414068,2.0,94.84122047658899
14.0,42.8772194158074,466.9181698774133,2.0,175.12151424150792
21.0,38.14698611877352,9.447241578077186,2.0,137.72709548732124
23.0,120.62100923999466,295.8428234935411,2.0,165.97400058639204
24.0,313.09605217788845,117.01477273123906,2.0,125.16127542987944
27.0,484.8120683801499,361.3870626905275,2.0,90.06679825303955
32.0,432.06482895135304,352.21058742602526,2.0,210.52761670069918
37.0,407.87498380359824,115.0654393620536,2.0,226.9455363403986
38.0,123.24411682480543,379.3726534267214,2.0,128.98344198317707
48.0,13.885482840396076,176.5893067020485,2.0,137.03123265767601
49.0,153.13882740936086,204.6084750847234,2.0,101.06581308362148
54.0,325.05408106059525,371.0713375716865,2.0,123.86833483814523
63.0,327.06688752129446,182.09862255775315,2.0,105.10890805435508
66.0,417.48446799285443,21.624868044174484,2.0,255.0
2.0,510.7938806586554,315.84392597329276,3.0,162.22065210337465
10.0,287.47496704448355,388.72281961366207,3.0,76.03576144682525
14.0,51.65362192557802,473.574952419626,3.0,170.35490683728506
23.0,117.77175571201242,288.7807309563548,3.0,164.3423787544428
24.0,307.7512883668101,107.83319375894823,3.0,131.49282011023539
