,alpha,beta,TP Tracks,FN Tracks,FP Tracks,JSC Tracks,RMSE,Min,Max,SD,TP Positions,FN Positions,FP Positions,JSC Positions,OSPA
30Hz_NN,0.6523421777381295,0.5409013594419158,49.0,12.0,31.0,0.532608695652174,1608.1182371611762,48.83494141119797,3970.4353716595415,1077.9272902570576,3405.0,1240.0,1331.0,0.5697791164658634,925.4697402153035
50Hz_ENNJPDAF,0.7168968905599878,0.6774273978994712,47.0,9.0,16.0,0.6527777777777778,2014.412478967061,56.21886090720512,6213.841920034576,1564.5841464929224,5403.0,1428.0,970.0,0.6926035123702089,1230.3388707580582
15Hz_NN,0.7352357829489957,0.622169345885322,39.0,22.0,22.0,0.46987951807228917,631.9800494855153,28.60927428896173,2229.5143930653694,501.4893825786889,1638.0,409.0,507.0,0.6413469068128426,326.8190213073209
15Hz_JPDAF,0.6851286457919361,0.6371914302299378,37.0,24.0,14.0,0.49333333333333335,521.9200928176565,45.41219252529031,1354.0504850685036,343.4201868138524,1692.0,355.0,279.0,0.7274290627687017,380.5469834751886
40Hz_GNN,0.8143718754746794,0.7973019400399477,42.0,5.0,13.0,0.7,859.7924806503893,55.679833666165756,2508.061958398121,619.7493616683541,4734.0,544.0,392.0,0.834920634920635,568.9488479715978
50Hz_PDAF,0.41062698189167535,0.33007683140762933,49.0,7.0,38.0,0.5212765957446809,3908.3478328202136,90.35992214568749,7260.821622066773,2332.081128087779,4027.0,2804.0,2497.0,0.43171097770154376,2378.983427147205
7Hz_PDAF,0.49997427300305364,0.3934150079835179,35.0,21.0,18.0,0.47297297297297297,471.4247892452259,47.789019860389516,960.9289768263071,248.52213355239178,665.0,210.0,392.0,0.5248618784530387,317.9694183855206
40Hz_PDAF,0.4282638374907902,0.33792443328993726,45.0,2.0,50.0,0.4639175257731959,3147.9416531217817,55.67983367142927,5517.556547157465,1679.034967065703,3354.0,1924.0,2027.0,0.4591375770020534,1835.7308313714639
50Hz_NN,0.5988514735968403,0.5159881957795177,48.0,8.0,33.0,0.5393258426966292,3022.9822018862005,56.21886090720512,7608.957670557613,2197.382003958852,4602.0,2229.0,1847.0,0.5303065222401475,1623.1633129061709
50Hz_JPDAF,0.5457757966468709,0.47969563392881814,41.0,15.0,18.0,0.5540540540540541,2647.5120603501305,90.35992212549287,5702.449746680071,1732.706271698291,4709.0,2122.0,1904.0,0.53909559244419,1811.9419324624869
7Hz_NN,0.68161171961863,0.5392497781792959,37.0,19.0,16.0,0.5138888888888888,324.9098290432525,41.26788570300242,867.3068668958836,235.9778017904759,691.0,184.0,348.0,0.5650040883074408,226.1797386912438
60Hz_GNN,0.7900053329787353,0.7591394746532044,38.0,8.0,12.0,0.6551724137931034,1701.9154810137502,69.61241277763176,6010.900295925142,1303.696044580342,5741.0,875.0,600.0,0.7955931263858093,1084.2705016317511
30Hz_PDAF,0.4292238689168911,0.3139261330686442,46.0,15.0,50.0,0.4144144144144144,2380.956339686272,166.41288363287526,3698.33904214012,1098.5159200915743,2939.0,1706.0,2260.0,0.42563359884141927,1585.7673303825018
15Hz_GNN,0.7951027512235795,0.7374605037402209,38.0,23.0,14.0,0.5066666666666667,326.86221922204953,45.37036805097547,1254.4515603972507,254.01227016052928,1757.0,290.0,275.0,0.7566752799310938,234.06425340566815
50Hz_GNN,0.7108861206075754,0.6717475570438992,46.0,10.0,16.0,0.6388888888888888,1810.510246130464,56.21886090720512,5616.253784853843,1389.408713536632,5321.0,1510.0,1065.0,0.6738855116514691,1243.4937398938882
15Hz_ENNJPDAF,0.779606737516028,0.7247297873275702,39.0,22.0,13.0,0.527027027027027,481.88774969614735,45.37036805097547,2167.6219712838183,395.7012966242494,1738.0,309.0,276.0,0.7481704692208351,255.6240010276528
7Hz_ENNJPDAF,0.7412772789586513,0.6549375329309385,37.0,18.0,9.0,0.578125,212.69035162581957,41.69004047295586,646.3931604265136,140.3244143246152,713.0,129.0,184.0,0.6949317738791423,123.36468903391626
15Hz_PDAF,0.5539792114341104,0.4415870116065514,38.0,23.0,23.0,0.4523809523809524,950.7742588272994,55.85704340074003,1740.0184038333873,545.1653144518449,1611.0,436.0,725.0,0.5811688311688312,650.5259983482697
40Hz_JPDAF,0.6180119672224562,0.5845640077061154,43.0,4.0,16.0,0.6825396825396826,2187.2906169917783,55.679833666165756,5298.126719544254,1263.7875323665257,4379.0,899.0,955.0,0.7025509385528638,1241.9882420147765
30Hz_JPDAF,0.6563888424889537,0.6309863769373324,48.0,13.0,12.0,0.6575342465753424,1379.196631854277,71.90426650347075,3516.489265517923,837.3755519096142,3973.0,672.0,678.0,0.7463836182603795,798.4987336340649
7Hz_GNN,0.711206402432362,0.6283691404491593,37.0,18.0,9.0,0.578125,266.02852966591416,41.69004047295586,853.6315902923754,187.93536006023777,696.0,146.0,207.0,0.663489037178265,138.11108994297118
