,alpha,beta,TP Tracks,FN Tracks,FP Tracks,JSC Tracks,RMSE,Min,Max,SD,TP Positions,FN Positions,FP Positions,JSC Positions,OSPA
40Hz_GNN,0.7506628051623286,0.7061537220740264,44.0,9.0,8.0,0.7213114754098361,1099.9159877436941,42.37402493202467,3446.08488971153,853.2484327784788,3458.0,667.0,670.0,0.7211678832116788,800.8269524475725
15Hz_NN,0.8237147006497734,0.7642713717369031,45.0,9.0,8.0,0.7258064516129032,308.7924674225635,40.6592253095624,1204.1489560410437,236.33728366432695,1490.0,130.0,238.0,0.8019375672766416,232.20010979137547
50Hz_GNN,0.7779838050953394,0.7445548134701491,49.0,7.0,5.0,0.8032786885245902,1056.9459819679078,45.586976371822885,3571.9744093463223,798.9416518769765,4659.0,731.0,630.0,0.7739202657807309,943.5274210727903
15Hz_PDAF,0.5760682044331515,0.4927299319861169,45.0,9.0,12.0,0.6818181818181818,724.5522962073987,40.65922532992888,2167.432762501203,494.49830838051764,1311.0,309.0,488.0,0.6219165085388995,577.9160819671755
7Hz_ENNJPDAF,0.7547613569680973,0.6906778455274097,30.0,12.0,9.0,0.5882352941176471,138.97195863806206,40.54709970607622,402.8929585808993,84.16398081318705,425.0,60.0,91.0,0.7378472222222222,116.43248685184815
60Hz_ENNJPDAF,0.718838864600605,0.6782479032656815,45.0,11.0,8.0,0.703125,1695.1374345631755,87.20807499123207,4486.91058455394,1248.6570756941271,5187.0,1079.0,1011.0,0.7127937336814621,1234.0993382235347
30Hz_NN,0.68550173881947,0.5915363113590318,44.0,19.0,21.0,0.5238095238095238,1034.1357634102383,47.14941099728448,2576.5894763445103,733.8136073501765,2754.0,828.0,876.0,0.6177658142664872,801.5010409834965
60Hz_GNN,0.7042606541805836,0.664492886477268,46.0,10.0,8.0,0.71875,1797.4938912993607,87.20807499123207,4412.7005630257645,1317.5711757146123,5107.0,1159.0,1029.0,0.7000685400959561,1268.4541517749155
40Hz_PDAF,0.39436152225123244,0.28489339392054885,42.0,11.0,33.0,0.4883720930232558,2726.9267229324814,42.37402490690209,5193.52226512706,1622.556676630301,2402.0,1723.0,2225.0,0.37826771653543306,2233.607790308203
60Hz_NN,0.6273029908041414,0.5339147704942612,45.0,11.0,22.0,0.5769230769230769,2526.54652991892,87.20807499123207,6419.080406064173,1804.6077662818093,4343.0,1923.0,1607.0,0.5516321605487108,1852.5721515832845
30Hz_ENNJPDAF,0.7240683133683306,0.6281454828010076,42.0,21.0,15.0,0.5384615384615384,838.7458677097998,47.14941099728448,2428.1104761515576,628.3275765580191,2929.0,653.0,819.0,0.6655305612360827,702.034495059684
7Hz_PDAF,0.5642049560523092,0.4493257860186699,28.0,14.0,15.0,0.49122807017543857,291.34051824902053,40.5470997444598,743.7454542159793,179.99622989636853,373.0,112.0,183.0,0.5583832335329342,241.39462234900233
60Hz_PDAF,0.4232255709783401,0.34834249674901874,46.0,10.0,32.0,0.5227272727272727,3698.438448963895,87.2080749842257,8506.151429146606,2382.559658312476,3783.0,2483.0,1978.0,0.45887918486171764,3149.884959232534
40Hz_ENNJPDAF,0.7754777101853507,0.7294972758300049,44.0,9.0,8.0,0.7213114754098361,944.1450176818142,42.37402493202467,2826.9685693523106,728.1135336585534,3562.0,563.0,592.0,0.7551409794360823,720.6657359010615
30Hz_GNN,0.7581873007865592,0.6725673381420146,43.0,20.0,15.0,0.5512820512820513,704.4920182434716,47.14941099728448,2428.1104761515576,547.0629073195769,3025.0,557.0,648.0,0.7151300236406619,587.9645082139856
50Hz_PDAF,0.4353024433587259,0.3528240856697042,49.0,7.0,25.0,0.6049382716049383,2955.5301977808376,45.586976354840424,6712.275751497179,1885.8407497097853,3121.0,2269.0,2006.0,0.4219848566792861,2534.914189220144
50Hz_ENNJPDAF,0.7648124182490215,0.7070907263056991,49.0,7.0,6.0,0.7903225806451613,1200.9071045171604,45.586976371822885,3892.1002559017593,937.9694918429689,4619.0,771.0,837.0,0.7417697125421552,993.7455786182409
15Hz_JPDAF,0.7283928044098129,0.7196955768944719,47.0,8.0,4.0,0.7966101694915254,442.0649559834236,40.96748666890406,1280.792513166299,290.51546789856155,1521.0,134.0,159.0,0.8384785005512679,306.5747126074639
50Hz_JPDAF,0.6091092556359645,0.5579705791770647,45.0,11.0,8.0,0.703125,1875.949758188897,45.586976371822885,4751.637854507379,1327.7469779925448,4165.0,1225.0,1117.0,0.6400799139388351,1543.7358665091338
60Hz_JPDAF,0.498998433316476,0.44718595296925606,42.0,14.0,11.0,0.6268656716417911,3101.383033096588,87.20807499123207,8390.351507401163,2141.7259783069726,4063.0,2203.0,1805.0,0.5034072605625077,2492.0401454477533
7Hz_NN,0.7134773159544843,0.6179223182820086,30.0,12.0,11.0,0.5660377358490566,186.43739867910395,40.54709970607622,522.1041548297784,126.14207576923322,403.0,82.0,131.0,0.6542207792207793,135.88305041232482
50Hz_NN,0.6856451764219088,0.5926278866122656,48.0,8.0,17.0,0.6575342465753424,1717.8279168094907,45.586976371822885,4578.660221243015,1312.189692477795,4062.0,1328.0,1181.0,0.6181707502663217,1371.1362717130974
15Hz_ENNJPDAF,0.8082721299923348,0.795297488191031,46.0,9.0,5.0,0.7666666666666667,346.0308592261617,40.96748666890406,1379.1490237225078,266.14842626102273,1516.0,139.0,140.0,0.8445682451253482,198.5291275719963
40Hz_NN,0.6761783367976174,0.6063555737587331,45.0,8.0,15.0,0.6617647058823529,1504.8271449938854,42.37402493202467,4379.591637659733,1104.533677319699,3122.0,1003.0,983.0,0.6111981205951449,1031.1126028753988
15Hz_GNN,0.8090238062380488,0.7960370982901135,46.0,9.0,5.0,0.7666666666666667,346.34813447566114,40.96748666890406,1379.1490237225078,267.45453372798846,1517.0,138.0,139.0,0.8455964325529542,197.3188391826227
30Hz_PDAF,0.4795516194662399,0.3657908647632179,46.0,17.0,28.0,0.5054945054945055,1726.8209146524375,62.712908048872805,3659.4724770604907,981.0361737692401,2370.0,1212.0,1441.0,0.4718295839139956,1455.4691301252267
40Hz_JPDAF,0.6265345138904463,0.5285183782818182,40.0,13.0,12.0,0.6153846153846154,1370.768877357361,42.37402493202467,3962.1330959906127,945.4424782312436,3187.0,938.0,1121.0,0.6075104841784217,1321.641652571591
30Hz_JPDAF,0.6256242418239044,0.5580144507503052,40.0,23.0,15.0,0.5128205128205128,1038.5234122399982,53.32378634882969,2288.37777084847,622.8536476877584,2840.0,742.0,771.0,0.6524236158970824,841.5345832346925
7Hz_GNN,0.7547613569680973,0.6906778455274097,30.0,12.0,9.0,0.5882352941176471,138.97195863806206,40.54709970607622,402.8929585808993,84.16398081318705,425.0,60.0,91.0,0.7378472222222222,116.43248685184815
7Hz_JPDAF,0.6834106622090159,0.6115390612017946,27.0,15.0,12.0,0.5,190.06215820379535,40.54709970607622,644.9843053738061,121.69399476036769,405.0,80.0,98.0,0.6946826758147513,148.66149405313283
