,alpha,beta,TP Tracks,FN Tracks,FP Tracks,JSC Tracks,RMSE,Min,Max,SD,TP Positions,FN Positions,FP Positions,JSC Positions,OSPA
7Hz_JPDAF,0.6157487776981774,0.5766287791150658,37.0,6.0,6.0,0.7551020408163265,349.9050299287703,57.77408461379842,779.580562558338,194.27071131373688,625.0,112.0,147.0,0.7070135746606335,179.2588442389096
30Hz_NN,0.7041509899269554,0.6174209369040831,39.0,8.0,8.0,0.7090909090909091,1098.039900940092,52.539540811556,3088.079393890463,833.8761039591899,2399.0,584.0,729.0,0.6462823275862069,766.4478016652004
30Hz_GNN,0.743786543044421,0.7067592104722036,39.0,8.0,5.0,0.75,899.4562128673907,52.539540811556,2366.8468308394617,684.8880258117098,2546.0,437.0,488.0,0.7335061941803515,602.1749622422959
15Hz_NN,0.7690780089927484,0.7116505149098346,36.0,11.0,9.0,0.6428571428571429,421.01352881586416,43.46876053272474,1420.5224931087714,319.37832745826876,1133.0,131.0,215.0,0.7660581473968898,301.6273833189652
15Hz_GNN,0.6393031754336667,0.6117177999607529,35.0,12.0,7.0,0.6481481481481481,634.5071941083966,43.46876053272474,1715.3284677135312,467.97809663799893,998.0,266.0,310.0,0.6340533672172808,402.78902747777954
40Hz_GNN,0.7588900276051934,0.7237086313212101,46.0,4.0,7.0,0.8070175438596491,1267.388319029274,43.70208437866374,4709.312942734125,1028.793070425002,3759.0,735.0,619.0,0.7351848230001956,813.5081817376919
40Hz_PDAF,0.41494145931634074,0.32408259026101927,47.0,3.0,24.0,0.6351351351351351,2662.6307496715317,43.448225664883616,5335.219445338952,1567.4198855086713,2734.0,1736.0,1757.0,0.4390557250682512,1841.534134317776
60Hz_JPDAF,0.5359845593841246,0.4916538908588764,47.0,7.0,24.0,0.6025641025641025,3044.5037785469276,80.47655742655692,7006.65222575969,2011.650939745887,4348.0,2262.0,1945.0,0.5082407948568088,2286.006169724872
7Hz_PDAF,0.548501768154173,0.4376933301432289,35.0,7.0,14.0,0.625,383.16391162315665,48.25071952831269,861.1418043281307,201.7757141181908,569.0,142.0,272.0,0.5788402848423194,282.9747514499386
15Hz_JPDAF,0.6497944032679788,0.6226991097276157,35.0,12.0,7.0,0.6481481481481481,609.8161160345668,45.51009093633193,2042.9532032181035,415.38131687661144,1082.0,182.0,206.0,0.7360544217687075,405.6164999417452
7Hz_GNN,0.7538731501652233,0.7329874824165825,37.0,6.0,5.0,0.7708333333333334,249.9059994121523,41.10879753203,760.2378142561366,172.34719886588402,647.0,90.0,111.0,0.7629716981132075,101.22361439163728
40Hz_NN,0.7532108148849042,0.7083955576318357,48.0,2.0,12.0,0.7741935483870968,1383.7703083411345,43.70208437866374,4709.312942734125,1087.5089956013298,3760.0,734.0,636.0,0.732943469785575,891.6647399937576
7Hz_NN,0.7199096627314482,0.6098545073943418,37.0,6.0,12.0,0.6727272727272727,292.695981574137,41.10879753203,720.3600648595785,205.9004216418943,613.0,124.0,232.0,0.6326109391124871,192.48270471202693
60Hz_ENNJPDAF,0.7494033825224022,0.7318003188762119,48.0,6.0,21.0,0.64,1866.3697889354942,63.13772326193174,6692.480422061812,1465.104341615141,5530.0,1080.0,884.0,0.7379236722711503,1228.2019337288843
60Hz_PDAF,0.39693205164921863,0.31818104067442826,48.0,6.0,48.0,0.47058823529411764,3961.2455188333543,80.47645237321817,8406.030425719586,2270.3572221809745,3734.0,2876.0,2405.0,0.41419855795895727,3095.445260661463
60Hz_GNN,0.7473546322320013,0.7297996925769726,48.0,6.0,21.0,0.64,1874.2575334283463,63.13772326193174,6692.480422061812,1466.2238999550727,5526.0,1084.0,888.0,0.7369965324086423,1239.0271332515172
40Hz_ENNJPDAF,0.8090570934997657,0.7982484025879204,47.0,3.0,6.0,0.8392857142857143,1089.3754730011487,43.70208437866374,4709.312942734125,899.4225881583181,3979.0,515.0,379.0,0.816540119023189,638.6334755562837
15Hz_ENNJPDAF,0.6220588077344407,0.5898592145358837,34.0,13.0,9.0,0.6071428571428571,641.9942544189732,43.46876053272474,1715.3284677135312,468.91570515255427,968.0,296.0,326.0,0.6088050314465409,430.00487874441626
40Hz_JPDAF,0.5959157430627255,0.5523869182093784,43.0,7.0,7.0,0.7543859649122807,1777.9000511409386,43.70208437866374,4709.312942734125,1177.0583473727017,3388.0,1106.0,915.0,0.6263634682935848,1466.3015923500964
15Hz_PDAF,0.5462379891530162,0.43643793823603827,35.0,12.0,15.0,0.5645161290322581,770.2815514828847,45.51009092152614,1889.3807658736946,487.89598412129396,990.0,274.0,484.0,0.5663615560640732,655.9729252179459
7Hz_ENNJPDAF,0.7556406130475712,0.7347059786491557,37.0,6.0,5.0,0.7708333333333334,248.6888917961202,41.10879753203,760.2378142561366,172.0593574286042,647.0,90.0,111.0,0.7629716981132075,100.24179781480734
30Hz_JPDAF,0.6563638648028929,0.6194484682039663,37.0,10.0,6.0,0.6981132075471698,1151.718347111586,52.539540811556,2948.178089951026,798.7909311707532,2492.0,491.0,555.0,0.7043527416619559,849.8066125279366
