,alpha,beta,TP Tracks,FN Tracks,FP Tracks,JSC Tracks,RMSE,Min,Max,SD,TP Positions,FN Positions,FP Positions,JSC Positions,OSPA
60Hz_JPDAF,0.46031847090317,0.40180147390683896,52.0,19.0,24.0,0.5473684210526316,3605.2713287572096,87.95236882489803,7616.409082369378,2089.680790645,5487.0,3302.0,2987.0,0.4659476902173913,2547.8420534929687
15Hz_PDAF,0.564623704657342,0.458775500863374,36.0,15.0,17.0,0.5294117647058824,763.9819785174184,82.75747489937942,1612.6791380583659,403.02648994955496,1190.0,340.0,465.0,0.5964912280701754,568.8889087573754
40Hz_JPDAF,0.4863604885054672,0.4671198537953608,43.0,20.0,10.0,0.589041095890411,2417.3689987016905,50.62180608801088,4929.467932323036,1380.1225014216304,3727.0,1517.0,1240.0,0.574799506477483,1611.5425609320412
60Hz_PDAF,0.3445592248048295,0.24532817780376268,62.0,9.0,91.0,0.38271604938271603,4275.407727927355,96.18669623972099,8425.8328597254,2285.371459606575,4606.0,4183.0,4733.0,0.34063008430705516,3303.4956173370883
15Hz_JPDAF,0.6508314557796318,0.6064385672002658,35.0,16.0,12.0,0.5555555555555556,562.9989541124922,52.30410142484275,1570.5451052757057,364.78906634874136,1223.0,307.0,199.0,0.7073452862926547,434.0257618939225
7Hz_JPDAF,0.5843351873641196,0.49695796308537277,31.0,21.0,11.0,0.49206349206349204,245.68327942806283,58.524085294487854,567.9713636834501,141.2708948453352,477.0,160.0,182.0,0.5824175824175825,202.06639070576082
30Hz_GNN,0.8036912776974421,0.7449003562581598,43.0,15.0,11.0,0.6231884057971014,667.5439674411346,54.62907887676336,2571.7611596925954,541.2458857327013,2995.0,464.0,475.0,0.7613116420945603,472.9078086960765
60Hz_GNN,0.7481183325779943,0.7200188376070952,57.0,14.0,22.0,0.6129032258064516,1870.232859934928,75.67908271147095,7616.407273093268,1430.4949774926388,7354.0,1435.0,1067.0,0.7461444805194806,1138.703815620976
30Hz_NN,0.7408043809674248,0.6530179290943738,45.0,13.0,18.0,0.5921052631578947,1013.5649110645037,54.62907887676336,2955.136503202782,764.5764821467429,2804.0,655.0,692.0,0.6754998795470971,615.8317222243403
15Hz_ENNJPDAF,0.775107149011622,0.7343120359057472,39.0,12.0,10.0,0.639344262295082,447.60506174158417,46.182966250670376,1247.4310227670398,324.02007864001416,1339.0,191.0,201.0,0.7735413056036973,227.18213653284946
7Hz_NN,0.6358407327465011,0.5166205953565322,31.0,21.0,13.0,0.47692307692307695,251.20572770192376,44.0432001218648,674.8066462343852,167.67188812298298,476.0,161.0,234.0,0.5464982778415615,207.1371570569234
40Hz_PDAF,0.33618931247064665,0.24999670371470098,48.0,15.0,51.0,0.42105263157894735,3155.046976816251,50.621806067238545,5584.846053083671,1608.5756363721875,2812.0,2432.0,2507.0,0.36279189781963617,2133.4266519909943
60Hz_NN,0.6464678283669736,0.5593429556524248,58.0,13.0,44.0,0.5043478260869565,2681.0351296772296,75.67908271147095,7616.407078499008,1924.765215928159,6367.0,2422.0,1995.0,0.5904117210682492,1682.9947537177254
40Hz_ENNJPDAF,0.7447897453047246,0.7298967341390349,50.0,13.0,9.0,0.6944444444444444,1326.826558736352,50.62180608801088,4929.467932323036,991.3602161190084,4468.0,776.0,666.0,0.7560067681895093,716.6716896413142
60Hz_ENNJPDAF,0.7401057811611478,0.7133227010226262,58.0,13.0,21.0,0.6304347826086957,2000.7528785352868,75.67908271147095,7616.407329078274,1521.9131689442515,7318.0,1471.0,1097.0,0.7402387214242363,1158.1344137045444
30Hz_PDAF,0.4769587648030247,0.3758943648789388,45.0,13.0,29.0,0.5172413793103449,1903.1861943056563,70.3997549933901,3927.0773331978253,1178.510630590055,2495.0,964.0,1390.0,0.5145390802227263,1442.4191163525907
7Hz_GNN,0.6504846477030217,0.5795226861354195,34.0,18.0,9.0,0.5573770491803278,220.29018211158547,44.0432001218648,499.0736635734002,135.49020238126838,506.0,131.0,168.0,0.6285714285714286,159.05089653512456
7Hz_PDAF,0.519702167006614,0.40030263649723474,32.0,20.0,17.0,0.463768115942029,343.6923967486214,64.65120885191475,747.8202996924047,197.63160305749616,460.0,177.0,263.0,0.5111111111111111,280.11865112227684
40Hz_NN,0.6126751242621641,0.5310526201042626,51.0,12.0,28.0,0.5604395604395604,2076.195353817912,50.62180608801088,4929.46764603606,1431.6689403610085,3774.0,1470.0,1382.0,0.5695744038635677,1188.6353880236106
15Hz_NN,0.7570208554938161,0.6752158573872803,42.0,9.0,14.0,0.6461538461538462,521.2542903994434,41.53255197672121,1463.943747803699,399.11294607736033,1325.0,235.0,314.0,0.7070437566702241,310.01456493138227
7Hz_ENNJPDAF,0.6540620984926665,0.6003423007778509,34.0,18.0,9.0,0.5573770491803278,218.70029653505324,44.0432001218648,497.108942953981,136.3224592937213,508.0,129.0,149.0,0.6463104325699746,151.56487702944858
30Hz_JPDAF,0.6569895567746207,0.6108482311591645,41.0,18.0,10.0,0.5942028985507246,1039.9824356374727,84.310944038937,2837.36886276768,697.3521594511001,2837.0,658.0,546.0,0.7020539470428112,846.5280349664267
40Hz_GNN,0.7097028978528779,0.6955114924949528,50.0,13.0,9.0,0.6944444444444444,1542.3070736723616,50.62180608801088,4929.467932323036,1148.8072707443623,4323.0,921.0,811.0,0.7139554087530966,822.6477732845026
15Hz_GNN,0.7879985109317761,0.7373931019728546,40.0,11.0,10.0,0.6557377049180327,433.02537577178845,46.182966250670376,1247.4310227670398,316.6577026299293,1346.0,184.0,209.0,0.7740080506037953,243.41736553598508
