,alpha,beta,TP Tracks,FN Tracks,FP Tracks,JSC Tracks,RMSE,Min,Max,SD,TP Positions,FN Positions,FP Positions,JSC Positions
dataset_1_10Hz_trackmate,0.42105443326719394,0.3132497137035378,38.0,12.0,74.0,0.3064516129032258,630.2294608858233,2.728196980974695,1281.8344759136605,378.39963842343536,477.0,540.0,390.0,0.3390191897654584
dataset_2_40Hz_trackmate,0.43167502130768476,0.33026005205255965,80.0,6.0,172.0,0.31007751937984496,2442.0665514857324,96.20285687054033,6082.95965044193,1607.3151945553068,3176.0,3568.0,2264.0,0.35257548845470693
dataset_2_30Hz_trackmate,0.43890558305165484,0.3692565587907983,69.0,18.0,130.0,0.31797235023041476,1918.4981509674442,66.96391737370291,4516.2014718818555,1354.6747232413095,2309.0,2436.0,1054.0,0.39817209863769615
dataset_2_10Hz_trackmate,0.3978438522067663,0.29217418766714787,59.0,17.0,124.0,0.295,561.5779225551838,8.98712978089958,1384.0236684305437,356.02849565913266,544.0,656.0,497.0,0.3205657041838539
dataset_1_20Hz_trackmate,0.3557893039684972,0.2978319323483405,39.0,14.0,65.0,0.3305084745762712,1331.7133074037797,43.987662664157696,2985.027966762065,988.9300204531031,710.0,1104.0,399.0,0.32083145051965656
dataset_1_40Hz_trackmate,0.4356275722013744,0.35620496288394105,53.0,10.0,118.0,0.292817679558011,2691.4371603462073,88.85824990469065,6121.214966740668,1868.5687663571448,2330.0,2587.0,1279.0,0.37604906391220144
dataset_2_20Hz_trackmate,0.37579645107667026,0.27534771415366094,75.0,7.0,207.0,0.25951557093425603,1391.2166445807427,42.95306636791907,2882.633285613905,802.6649546062565,1513.0,1982.0,1539.0,0.30055621771950736
dataset_1_30Hz_trackmate,0.35539754020381153,0.266680737906079,45.0,10.0,126.0,0.24861878453038674,2400.533102361489,49.483709483816185,4463.360854848812,1499.3938341443481,1410.0,2112.0,1306.0,0.292046396023198
